batch,n,accuracy,avg_confidence,hard_intent_share,alert
0,54,0.8888888888888888,0.521225948761522,0.18518518518518517,False
1,54,0.8703703703703703,0.46961120029972453,0.3888888888888889,False
2,54,0.9444444444444444,0.5286005820257982,0.2037037037037037,False
3,53,0.8867924528301887,0.48131667328318917,0.2641509433962264,False
4,54,0.9444444444444444,0.4883665868823556,0.4074074074074074,False
5,54,0.9444444444444444,0.5550272982191035,0.18518518518518517,False
6,83,0.891566265060241,0.3975029235189293,0.5060240963855421,False
7,84,0.8928571428571429,0.4428309487965868,0.5238095238095238,False
8,84,0.8809523809523809,0.4540698309608417,0.5,False
9,84,0.8452380952380952,0.482998478220872,0.5,True
